accept all	ip	tcp	tcp src port 80	src net 178.79.150.0/24
264.81415044345	140.62511373067	120.74459285308	49.131050401695	47.658949047762
264.27179517928	140.60683794862	120.51638934942	49.246089385475	47.703660824783
264.63151210927	140.56046690585	120.48389963356	49.23233733594	47.604836460699
265.0365196348	140.99286242677	120.96566677991	49.338623915564	47.66037472454
265.09985907187	138.92352717902	120.22836865254	49.183285509326	47.578432352471
264.02539669843	140.46220526699	120.523611666	49.221537541131	47.474039573942
264.31669848377	140.70139457753	120.82908956403	49.295758895136	47.764202700137
265.25853195423	140.93791532181	120.47788494179	49.337144570486	47.777093620679
265.13695932505	140.91116173121	120.87266736558	49.079066099698	47.660849969089
265.09720945108	140.87597510912	120.80252071443	49.290344483275	47.795726128216
265.13165865313	140.96890585801	120.9173375417	49.254934046417	47.751318734015
264.34047699966	140.24742268041	120.90767632783	49.273616545556	47.714613718267
265.12900839664	140.89567745222	120.88594424029	49.35687646853	47.789035863903
265.21119099281	140.51693408196	120.52842702465	49.307576287269	47.706517616529
265.11310797033	138.77221678224	120.31353613231	49.252968291661	47.688906182965
264.72415413064	140.63355030947	120.92337658446	49.370095133735	47.758475634736
265.24792892904	140.91538530708	120.98742754347	49.37747334861	47.774705888233
265.25323033568	140.90553069054	120.99226433197	49.194558772236	47.702232557211
265.07601439136	140.92805755396	120.87387423368	49.282963110867	47.785213696576
264.98617276545	140.94073208022	120.41695819923	49.330242132928	46.738254966558
