accept all	ip	tcp	tcp src port 80	src net 178.79.150.0/24
252.09530428174	134.27177985831	127.74244028122	56.984615230821	57.364219679176
254.12291116975	141.85569739103	127.59268731269	57.043580589186	57.492772431418
254.39751062234	143.36710759171	126.9815020126	56.882829573009	57.365366355832
253.87344	143.3241176647	127.82413662163	56.642703306345	57.359633430939
254.2296278521	143.00396468732	127.6322137725	56.973224458792	57.118771344691
254.01344704165	143.30406452064	127.86758031948	57.016855892585	57.480148511887
253.8404407427	143.05825407609	127.61818545164	55.656670886959	57.484164612175
254.35428120189	142.56372524517	127.49379149004	56.956715925781	57.403949086487
254.06424871503	143.10686374448	126.92402759724	56.588442854001	57.301795056108
254.36699421214	143.23678427299	127.89826424301	56.655131145906	57.356767398169
254.38225150204	143.19673244388	127.85863361487	56.981197520992	57.151732103916
254.20929395533	143.35850754326	127.68197540738	56.998860102591	57.485885969815
227.21422286217	142.91537992584	125.40998162279	56.760988379645	55.149431942975
254.22454407295	142.40633374665	127.65134827193	56.900999191463	57.449759095036
254.42803435553	143.33987764405	126.7440690151	56.598060484879	57.411388240924
254.05916763329	143.34704241685	127.97896187965	56.411242988131	57.301795056107
253.88906876118	143.09828316745	127.74116460449	56.912361098631	57.114778979321
257.28368234295	143.27829015078	127.7296846604	56.89134513663	57.497938360472
257.10072970812	142.83258587453	127.84585477987	56.786521121974	57.522058309446
257.88397640943	142.78239264111	127.38172247083	57.102805231107	57.500808722219
