accept all	ip	tcp	tcp port 5555	portrange 0-6000
14.961541914056	18.567045418377	19.739049520361	21.72210534155	21.137308187039
14.947357632439	18.520477490634	19.856291909187	21.763435244082	21.020394926492
14.853730887239	18.425128707242	19.725700373645	21.726959533697	21.114738670914
14.884999106938	18.435318469828	19.79564966575	21.768307927682	21.154554685234
14.962309398925	18.577984427	19.722699303536	21.758564741426	21.134627925513
14.837485534063	18.463617661022	19.818178729765	21.713615722474	21.117413889844
14.980752686791	18.370876568675	19.827946024948	21.728173420739	21.14803603473
14.975560918006	18.537839426728	19.860009872845	21.737889402296	21.134627925513
14.930715876225	18.40391198044	19.834013327893	21.630687085172	21.003744509253
14.957130403569	18.559661486089	19.828956984313	21.756536008653	21.149952867812
14.850516776132	18.366249508068	19.858319716776	21.760593852581	21.155321849501
14.905346534653	18.529890095928	19.669498954751	21.739914658915	21.146886101646
14.857703181112	18.414078282828	19.881330515984	21.739104510984	21.156856344975
14.854109109428	18.479994931416	19.613287160004	21.486482504604	20.98787551718
14.640131504649	18.214000249781	19.606695123181	21.455267658471	21.030246223728
14.867359031539	18.445227894329	19.842783768155	21.771963872509	21.127356355142
14.799279516972	18.461572543001	19.733373925986	21.676903925831	21.072027163705
14.888988144613	18.502267753497	19.790948568327	21.669254485346	21.092217300913
14.744107871757	18.481458600643	19.85426451569	21.639914680516	21.163764330286
14.919641943734	18.505202385484	19.866435090587	21.757347456363	21.07926069125
14.839561445906	18.495814838301	19.849197842767	21.720892132405	21.16222883262
14.934155957196	18.421637666972	19.841771398446	21.683349750033	20.994673576621
14.806792222956	18.51812583328	19.872525975132	21.713211620419	20.938533048582
14.854487350878	18.559956730616	19.878620595652	21.760593852581	21.022288689886
14.879683713812	18.552578434335	19.785914155375	21.738294423432	21.151486584481
14.962501282446	18.467124631992	19.871510568358	21.682946773714	21.080403281177
14.945634351301	18.550218618332	19.864067421469	21.765871313172	21.1350107784
14.732378715559	18.372323003275	19.868126628408	21.56671226293	21.137308187039
14.814124458778	18.483800953724	19.820872194757	21.739914658915	21.151870048405
14.961158201146	18.561137802666	19.766806722689	21.607852578942	21.127356355141
14.95770567044	18.556709557362	19.810775474165	21.759782162706	21.077356649926
14.746157735086	18.499334052134	19.80102508401	21.694235775381	21.057955058208
14.894310188554	18.533127889061	19.758103302286	21.755724621466	21.157240003627
14.972870306204	18.531656024651	19.739383480527	21.722914222942	21.147652709806
14.898874969672	18.411172479091	19.733040169133	21.657187407188	21.161461167337
14.929569534729	18.47063293544	19.8677882978	21.755318950567	21.043901735146
14.713428167877	18.237916588508	19.60340076618	21.402135231317	20.861035617222
14.646564061362	18.196955518123	19.817842098111	21.758158964605	21.14841937355
14.943528658341	18.556119284294	19.797665105545	21.763029285581	21.136542328665
14.939701645432	18.561137802666	19.870495265346	21.734649776453	21.128886796211
14.912395511133	18.521065498301	19.868464970539	21.615458722395	21.14267075005
14.839372702644	18.514305663552	19.881669307977	21.693429028299	21.153787576604
14.96039083437	18.394626893909	19.855278160685	21.761405603014	21.132713869116
14.980175645832	18.561728395062	19.836711099021	21.763435244082	21.065939621551
14.904965698737	18.586863360469	19.884380059651	21.761811500942	21.132713869116
14.780156578581	18.493762581831	19.87557281818	21.755318950568	21.148802726268
14.960966352072	18.546974851366	19.867449978714	21.721296520395	21.126973779517
14.827679989833	18.457775668407	19.786920833051	21.735054676875	21.157240003626
14.91678066867	18.06006006006	19.820198759874	21.714019839571	21.009417823636
14.958856336945	18.547269692393	19.869480066077	21.755724621466	21.139223075808
