accept all	ip	tcp	tcp port 5555	icmp
123.75177031029	135.1870604782	147.82836050446	150.27829893684	151.67744989743
132.28461326727	142.06030150754	158.40145023072	158.37535014006	161.81481481481
139.32164081751	151.15269696493	164.41669517619	166.64008321775	167.80377094972
147.14941824862	158.42755892533	171.33333333333	172.71877807727	174.1268115942
153.15168897387	164.61380373352	173.31049404977	177.66728280961	178.12824314307
158.63673873576	167.42379376415	173.87481910275	179.22431474921	179.25773964938
158.8202247191	169.69985875706	179.22431474921	179.59267563528	178.52526002972
158.71532364597	169.49038970199	179.22431474921	179.52558834516	178.89075004653
159.24121935056	166.8425620552	175.686346189	174.63299418605	176.55767817781
160.8131169483	169.96993810787	178.69120654397	179.59267563528	179.09073970561
159.42610714878	169.75980219004	178.39272457313	180.0974330148	179.35808919575
159.95673156931	168.36223506744	172.9674284686	175.11022044088	178.82418604651
155.32967032967	166.81360638667	178.72443287467	179.35808919575	177.9962962963
159.42610714878	163.8002726653	166.55345693987	178.22733172631	175.84705451884
158.66292505777	168.71686852729	178.99068901303	179.96255382887	177.8316373728
160.19666666667	169.34108527132	179.82787652011	178.89075004653	177.8316373728
160.51770207081	169.31125594504	179.99625468165	177.9962962963	179.45855115758
160.78621612579	170.39177450807	179.32462686567	177.47045790251	179.86152694611
160.22337056176	169.90984620824	178.52526002972	180.19872515936	179.29117701921
159.93011647254	169.75980219004	178.39272457313	180.0974330148	180.3339587242
159.90351023124	169.07299912049	178.95736361944	179.86152694611	180.19872515935
160.19666666667	169.40077546704	179.29117701921	180.3339587242	180.23251453216
158.97783658617	169.93988684583	179.62623808634	180.40165165165	177.43769614178
151.03394091766	158.97783658617	168.80576044959	171.33333333333	171.33333333333
160.16997167139	170	179.86152694611	179.12411479687	179.79423868313
160.51770207081	169.87981618947	179.49206349206	179.09073970561	180.26631657915
160.11660836249	169.75980219004	177.01289134438	179.96255382887	180.23251453216
160.0632805995	170.21073136179	178.06224527603	180.16494845361	180.0974330148
159.90351023124	169.55018521785	179.12411479687	180.0974330148	174.03222886112
155.10408262062	167.62818276944	178.75767156407	179.65981308411	179.65981308411
157.4930362117	169.69985875706	179.32462686567	179.79423868313	179.96255382887
158.3492586491	169.78978978979	179.49206349206	180.50328638498	177.9633401222
159.47901111664	169.49038970199	179.35808919575	180.3339587242	178.72443287467
151.60567823344	169.75980219004	174.31628581792	178.1942899518	180.02996815883
159.82374459594	169.96993810787	179.4250513347	177.89746437165	180.02996815882
160.2768050692	170.18059490085	176.85004599816	180.06369426751	180.19872515936
160.03663003663	170.09024951336	178.99068901303	179.05737704918	180.16494845361
159.85032429735	168.89474609031	180.16494845361	179.72700074795	180.57110651888
159.85032429735	168.86507378777	179.96255382887	179.72700074795	180.06369426752
159.26760563381	169.75980219004	179.49206349206	180.02996815883	180.26631657915
159.79717373233	169.55018521785	179.72700074794	179.52558834516	179.12411479687
158.89899156885	168.59849149272	179.96255382887	179.69340063563	179.29117701921
160.625	169.72982518099	180.06369426752	179.29117701921	179.32462686567
160.25008336112	169.61002293983	179.69340063563	178.99068901304	179.4250513347
160.67870277499	169.22183098591	177.40494647471	179.59267563528	178.95736361944
160.19666666667	169.61002293982	179.02402682064	180.1311844078	179.69340063563
160.59816207184	168.53936524636	179.72700074795	179.96255382887	179.4250513347
160.75932430172	168.74648876405	180.16494845361	180.16494845361	179.55912572389
158.63673873577	169.63995764208	179.25773964938	180.0974330148	179.92886559341
158.92526455026	170	179.49206349206	180.1311844078	179.19090231171
